keys,ru,en,tr,fr,it
PERK_SPEED_DESC,"Временно ускоряет всю колонию. Идеален для маневров, быстрого сближения и резкого нападения, когда нужно навязать бой первым.","Temporarily accelerates the entire colony. Ideal for maneuvering, rapid closing in, and striking first.","Tüm koloniyi geçici olarak hızlandırır. Manevralar, hızlı yaklaşma ve ilk saldıran olmak için mükemmeldir.","Accélère temporairement toute la colonie. Idéal pour manœuvrer, se rapprocher rapidement et frapper en premier.","Accelera temporaneamente l'intera colonia. Ideale per manovre evasive, avvicinamento rapido e attacchi fulminei."
PERK_RAPID_FIRE_TITLE,"СКОРОСТРЕЛЬНОСТЬ","RAPID FIRE","SERİ ATEŞ","TIR RAPIDE","FUOCO RAPIDO"
PERK_RAPID_FIRE_SUB,"Темп огня","Fire rate","Ateş hızı","Cadence de tir","Cadenza di tiro"
PERK_RAPID_FIRE_DESC,"Временно ускоряет стрельбу всей колонии. Лучше всего раскрывается перед добиванием вражеской группы или во время общего пуша.","Temporarily boosts the firing rate of the entire colony. Best used when finishing off an enemy squad or during a massive push.","Tüm koloninin ateş hızını geçici olarak artırır. Düşman grubunu bitirirken veya büyük bir hücum sırasında etkilidir.","Augmente temporairement la cadence de tir de toute la colonie. Idéal pour éliminer un groupe ennemi ou lors d'un assaut majeur.","Aumenta temporaneamente la cadenza di fuoco di tutta la colonia. Ottimo per eliminare gruppi nemici o durante un assalto in massa."
PERK_VIRUS_TITLE,"ВИРУС","VIRUS","VİRÜS","VIRUS","VIRUS"
PERK_VIRUS_SUB,"Автоцель","Auto-target","Otomatik hedef","Cible auto","Bersaglio auto"
PERK_VIRUS_DESC,"Запускает вирус во врага. Заражение один раз передаётся соседним клеткам его фракции и проходит волной по колонии. Одна волна не заражает клетку повторно, свои клетки невосприимчивы.","Fires an infectious virus at an enemy. Infection spreads once to adjacent faction cells in a wave through the colony. Friendly cells are immune.","Düşmana bulaşıcı bir virüs fırlatır. Bulaşma dalga halinde komşu düşman hücrelerine yayılır. Dost hücreler bağışıktır.","Projette un virus sur un ennemi. L'infection se propage en vague aux cellules voisines de sa faction. Les cellules alliées sont immunisées.","Lancia un virus infettivo contro un nemico. L'infezione si propaga a onda alle cellule nemiche adiacenti. Le cellule alleate sono immuni."
UI_PAUSE,"ПАУЗА","PAUSE","DURAKLAT","PAUSE","PAUSA"
UI_RESUME,"Продолжить","Resume","Devam Et","Reprendre","Riprendi"
UI_RESTART,"Рестарт","Restart","Yeniden Başlat","Recommencer","Riavvia"
UI_QUIT_TO_MENU,"Выйти в меню","Quit to Menu","Menüye Çık","Quitter vers le menu","Torna al menu"
UI_AUDIO,"ЗВУК","AUDIO","SES","AUDIO","AUDIO"
UI_MASTER_VOLUME,"ОБЩАЯ ГРОМКОСТЬ","MASTER VOLUME","GENEL SES","VOLUME GÉNÉRAL","VOLUME PRINCIPALE"
UI_LEVEL_MUSIC,"МУЗЫКА УРОВНЯ","LEVEL MUSIC","BÖLÜM MÜZİĞİ","MUSIQUE DU NIVEAU","MUSICA DEL LIVELLO"
UI_VICTORY,"ПОБЕДА","VICTORY","ZAFER","VICTOIRE","VITTORIA"
UI_DEFEAT,"ПОРАЖЕНИЕ","DEFEAT","YENİLGİ","DÉFAITE","SCONFITTA"
UI_NEXT_LEVEL,"СЛЕДУЮЩИЙ УРОВЕНЬ","NEXT LEVEL","SONRAKİ BÖLÜM","NIVEAU SUIVANT","LIVELLO SUCCESSIVO"
UI_TO_MAIN_MENU,"В ГЛАВНОЕ МЕНЮ","TO MAIN MENU","ANA MENÜYE","AU MENU PRINCIPAL","AL MENU PRINCIPALE"
UI_REPLAY,"ПЕРЕИГРАТЬ","REPLAY","TEKRAR OYNA","REJOUER","RIGIOCA"
UI_RETRY,"ПОВТОРИТЬ ПОПЫТКУ","TRY AGAIN","TEKRAR DENE","RÉESSAYER","RIPROVA"
UI_RETREAT_TO_MENU,"ОТСТУПИТЬ В МЕНЮ","RETREAT TO MENU","MENÜYE ÇEKİL","REPLI VERS LE MENU","RITIRATI NEL MENU"
UI_TO_MENU,"В МЕНЮ","TO MENU","MENÜYE","AU MENU","AL MENU"
TUTORIAL_INTRO,"Это твоя колония","This is your colony","Bu senin kolonin","Voici votre colonie","Questa è la tua colonia"
TUTORIAL_CAPTURE_NEUTRAL,"Захвати любую нейтральную клетку","Capture any neutral cell","Herhangi bir nötr hücreyi ele geçir","Capturez n'importe quelle cellule neutre","Cattura una cellula neutrale qualsiasi"
TUTORIAL_WAIT_CAPTURE,"Подожди, пока колония захватит клетку","Wait for your colony to capture the cell","Koloninin hücreyi ele geçirmesini bekle","Attendez que votre colonie capture la cellule","Aspetta che la tua colonia catturi la cellula"
TUTORIAL_ENERGY_BAR,"Это энергия перков. Она растет, когда ты захватываешь клетки, и тратится на способности. Захватывай клетки, пока не накопишь энергию на ускорение.","This is perk energy. It grows as you capture cells and is spent on abilities. Capture cells until you have enough energy for speed.","Bu yetenek enerjisidir. Hücreleri ele geçirdikçe artar ve yetenekler için harcanır. Hızlanma için yeterli enerji toplayana kadar hücreleri ele geçir.","Voici l'énergie de compétence. Elle augmente en capturant des cellules et sert à activer des pouvoirs. Capturez des cellules jusqu'à avoir l'énergie requise.","Questa è l'energia dei potenziamenti. Aumenta catturando cellule e serve per le abilità. Cattura cellule fino ad avere energia sufficiente per lo scatto."
TUTORIAL_SPEED_PERK,"Теперь нажми на перк ускорение!","Now activate the speed perk!","Şimdi hız yeteneğine bas!","Activez maintenant la compétence de vitesse !","Ora attiva il potenziamento scatto!"
TUTORIAL_MOVE_COMMAND,"Теперь кликни в любое место, чтобы отправить колонию дальше!","Now click anywhere to order your colony forward!","Şimdi kolonini ileri göndermek için herhangi bir yere tıkla!","Cliquez n'importe où pour déplacer votre colonie !","Ora clicca ovunque per far avanzare la tua colonia!"
TUTORIAL_FREE_PLAY_CONFIRM,"Отлично! Колония готова к наступлению. Теперь сокруши вражескую колонию и захвати арену!","Excellent! The colony is ready to advance. Now crush the enemy colony and dominate the arena!","Harika! Koloni hücuma hazır. Şimdi düşman kolonisini yok et ve arenayı ele geçir!","Parfait ! La colonie est prête à attaquer. Écrasez la colonie ennemie et dominez l'arène !","Ottimo! La colonia è pronta all'assalto. Ora distruggi la colonia nemica e conquista l'arena!"
TUTORIAL_CORNER_GOAL,"Захвати вражескую колонию","Capture the enemy colony","Düşman kolonisini ele geçir","Capturez la colonie ennemie","Cattura la colonia nemica"
PERK_SHIELD_SHORT,"Щит","Shield","Kalkan","Bouclier","Scudo"
PERK_RAPID_FIRE_SHORT,"Скорострельность","Rapid Fire","Seri Ateş","Tir Rapide","Fuoco Rapido"
PERK_SPEED_SHORT,"Скорость","Speed","Hız","Vitesse","Velocità"
PERK_VIRUS_SHORT,"Вирус","Virus","Virüs","Virus","Virus"
UI_NO_TARGET,"НЕТ ЦЕЛИ","NO TARGET","HEDEF YOK","AUCUNE CIBLE","NESSUN BERSAGLIO"
UI_LOADING,"Загрузка...","Loading...","Yükleniyor...","Chargement...","Caricamento..."
UI_LEVEL_N,"Уровень %d","Level %d","Bölüm %d","Niveau %d","Livello %d"
LEVEL_1,"Первые Деления","First Divisions","İlk Bölünmeler","Premières Divisions","Prime Divisioni"
LEVEL_2,"Тройной Барьер","Triple Barrier","Üçlü Bariyer","Triple Barrière","Tripla Barriera"
LEVEL_3,"Двойной Контакт","Double Contact","Çifte Temas","Double Contact","Doppio Contatto"
LEVEL_4,"Перекрестный Рост","Cross Growth","Çapraz Büyüme","Croissance Croisée","Crescita Incrociata"
LEVEL_5,"Плотная Мембрана","Dense Membrane","Yoğun Zar","Membrane Dense","Membrana Densa"
LEVEL_6,"Дуговой Раздел","Arc Split","Yay Ayrımı","Division en Arc","Divisione ad Arco"
LEVEL_7,"Тяжелые Потоки","Heavy Currents","Ağır Akıntılar","Courants Lourds","Correnti Pesanti"
LEVEL_8,"Шесть Просветов","Six Openings","Altı Açıklık","Six Ouvertures","Sei Fessure"
LEVEL_9,"Верхний Нажим","Upper Pressure","Üst Baskı","Pression Supérieure","Pressione Superiore"
LEVEL_10,"Секторный Захват","Sector Capture","Sektör Ele Geçirme","Capture de Secteur","Cattura di Settore"
LEVEL_11,"Широкий Перелом","Wide Breach","Geniş Kırılma","Large Brèche","Ampia Frattura"
LEVEL_12,"Сдавленные Рукава","Constricted Arms","Dar Boğazlar","Bras Resserrés","Bracci Stretti"
LEVEL_13,"Три Коридора","Three Corridors","Üç Koridor","Trois Couloirs","Tre Corridoi"
LEVEL_14,"Сдвинутый Центр","Shifted Center","Kaymış Merkez","Centre Décalé","Centro Spostato"
LEVEL_15,"Разветвленная Война","Branching War","Dallanan Savaş","Guerre Ramifiée","Guerra Diramata"
LEVEL_16,"Тройной Прессинг","Triple Press","Üçlü Baskı","Triple Pression","Triplo Pressing"
LEVEL_17,"Тройная Вилка","Triple Fork","Üçlü Çatal","Triple Fourche","Triplo Bivio"
LEVEL_18,"Сетчатый Центр","Mesh Center","Ağ Merkezi","Centre Maillé","Centro Reticolare"
LEVEL_19,"Сжатые Фронты","Compressed Fronts","Sıkışık Cepheler","Fronts Compressés","Fronti Compatti"
LEVEL_20,"Трехсторонний Узел","Three-Way Node","Üç Yönlü Düğüm","Nœud Tripartite","Nodo a Tre Vie"
LEVEL_21,"Периферийный Шторм","Peripheral Storm","Çevre Fırtınası","Tempête Périphérique","Tempesta Periferica"
LEVEL_22,"Фланговый Сплит","Flank Split","Kanat Ayrımı","Séparation de Flanc","Divisione di Fianco"
LEVEL_23,"Центральный Перекресток","Central Crossroads","Merkezi Kavşak","Carrefour Central","Incrocio Centrale"
LEVEL_24,"Разорванная Мембрана","Ruptured Membrane","Yırtık Zar","Membrane Rompue","Membrana Lacerata"
LEVEL_25,"Ядро Осаждения","Precipitation Core","Çökeltme Çekirdeği","Noyau de Dépôt","Nucleo di Deposito"
LEVEL_26,"Разводка Фронтов","Front Dispersal","Cephe Ayrışması","Dispersion des Fronts","Separazione dei Fronti"
LEVEL_27,"Боковой Разлом","Flank Rift","Yan Çatlak","Fissure Latérale","Faglia Laterale"
LEVEL_28,"Узел Давления","Pressure Node","Basınç Düğümü","Nœud de Pression","Nodo di Pressione"
LEVEL_29,"Смятые Маршруты","Crushed Routes","Ezilmiş Yollar","Itinéraires Froissés","Rotte Frantumate"
LEVEL_30,"Финальный Разнос","Final Havoc","Son Kaos","Choc Final","Distruzione Finale"
